,TITLE,NAME,WAGE,WAGE_DETAIL,Jangyo,Jangyowage,Jangyo_detail,Transp_fee,incen_detail,recruit_point
,組込制御設計エンジニア,株式会社テクノプロ　テクノプロ・デザイン社,195000,配属手当は配属時のみ支給、研修期間は支給なし,0,0,"残業手当（1分単位）
通常残業/125％割増、深夜残業/150％割増、法定休日残業/135％割増",150000,"年２回（6月、12月）
※査定期間/10月～3月：6月支給、4月～9月：12月支給
決算賞与（業績により支給（8月））",
,【正社員】第2創業期 エンジニア募集,株式会社プロフェース・システムズ,226850,資格手当,20,26250,,0,経済状況により支給判断,日本滞在歴のある方は大歓迎
,(株)リクルートR&Dスタッフィング　研究・開発の仕事にもっと自由を！,"Recruit R&D Staffing Co.,Ltd.",205000,"大学卒(4年制)：205,000円
住宅手当／会社負担：5割（社内規定有）
みなし残業制度なし　※時間外手当100％支給 
扶養手当、赴任手当など（社内規定有）",0,0,"※時間外手当100％支給 
1日8時間以上又は週40時間以上勤務：125％
法定休日労働手当：135%",0,正社員のみ、年2回（6月・12月、2017年の実績：3.2ヵ月分）,
,①サーバ・ネットワークエンジニア　②システムエンジニア,富士インフォックス・ネット株式会社,230000,"①転居費用一律100,000円補助
②社員寮有り、寮費半額補助",35,50000,,30000,賞与：年2回　前年度実績2.5～3か月分,
,設立から４５年目。様々な業種向けビジネスシステムやパッケージ製品などの多彩なコンピュータソフトを提供,オー・エイ・エス株式会社,220000,"大卒者の例です。
当社では院卒、大卒、専門３年、短大・専門2年卒によって初任給が違います。",10,13330,10時間以上の残業された場合は、超過分の残業代を別途支払います。10時間に達しない場合も減額することはありません。,50000,各個人によって賞与額は違います。,
,【Work in Japan】開発エンジニア募集！充実の来日サポート☆ (名古屋・関西での募集です）,パーソルテクノロジスタッフ株式会社,237800,"上記金額はイメージです、年齢／スキルによってオファー金額が変わる場合があります。
※時間外手当100％支給（規定有）
※経験・能力等を考慮の上、会社規定に従い決定
★初回提示の月給になりますので、貴方の頑張りで給与査定もUPします！",0,0,社内規定より月２０時間分以上の時間外労働手当は全額支給,0,"年2回（夏季6月、冬季12月）支給、賞与支給日在籍者に対し支給
支給対象期間：6月支給分：前年10/1～当年3/31　12月支給分：当年4/1～当年9/30","日本語能力試験N1保有の方
いずれかのプログラミング関連資格などをお持ちの方"
,【TOKYO勤務】ITプロフェッショナル採用,プロフィットキューブ株式会社,235000,"想定年収360万円
みなし残業ではありません。残業した時間に対して残業代を支給します。
交通費は月額5万円までの定期券交通費を別途支給します。
※想定年収は毎月20時間残業した想定の残業代と賞与2年2回を含んだ金額です。",0,0,"残業10時間まで1,190円
残業10時間超　1,488円",50000,"賞与年2回
1回の賞与額は月額賃金235,000円程度
※月額賃金をベースに業績と個人評価で変動します。",Javaでのコーディングが可能な方を優遇します。
,ITエンジニア,FUJIーNETWORKS,195000,,0,0,,0,年2回（6月、12月）2カ月分,
,外国籍の方の採用実績が今まで多数あります。気軽にご応募ください。,株式会社アドユニーク,224000,"[皆勤手当]
遅刻・早退・外出などがない場合に支給される手当
[出勤日数手当]
実際に出勤した場合、500円/日支給される手当（有給休暇日は支給されない）",0,0,,50000,会社の業績によりますが、およそ夏・冬ともに２ヶ月ずつくらいが目安です。,
,2019年ASCOM募集要項,"Advanced system for communications Co., Lt",222400,"・試用期間(インターン)内の給料：基本支給額の85%＝189,040円
（会社業績及び本人の貢献度により昇降給、賞与支給制度あり）
・役職手当：現場リーダーの役割　+20,000円",0,42300,ワークライフスタイルは人それぞれなので、入社後出来るだけ本人のスタイルを尊重した上で決めていきます。,20000,社員の夢を大事にしている会社で、社員のスキルアップと現場の評価により昇給を決めていきます。会社業績及び本人の貢献度により賞与支給制度あり,"下記分野で活躍したい方大歓迎です！
・AI開発、IoT分野、アプリケーション開発（API開発）、マシーンラーニング（ロボット開発）、自動運転開発
・キッズ向けのITプロダクト制作提案"
,ＩＴエンジニア募集,日本キスコ株式会社,237000,"資格手当：JLPT N1あるいは情報処理技師所持者にそれぞれ手当有り
SITE手当：業務従事中の場合、手当有り",0,40000,,20000,"基本給の2.5ヶ月分を年2回支給。
評価や会社業績により変更の場合有り。",
